"Reporting_Economy","Partner_Economy","METRIC","rankx"
"Albania","Italy","90608999","2"
"Albania","Greece","65058344","3"
"Albania","Russian Federation","40609106","4"
"Albania","Serbia","36469557","5"
"Albania","Turkey","25920365","6"
"Angola","Brazil","372788515","2"
"Angola","Portugal","342472196","3"
"Angola","United States of America","206799935","4"
"Angola","South Africa","196636596","5"
"Angola","Belgium","151457260","6"
"Antigua and Barbuda","United States of America","48057595","2"
"Antigua and Barbuda","Brazil","4835908","3"
"Antigua and Barbuda","Trinidad and Tobago","3601436","4"
"Antigua and Barbuda","United Kingdom","3031663","5"
"Antigua and Barbuda","Saint Vincent and the Grenadines","2752754","6"
"Argentina","Brazil","370383195","2"
"Argentina","Ecuador","192047304","3"
"Argentina","Chile","126275039","4"
"Argentina","United States of America","58703117","5"
"Argentina","Bolivia, Plurinational State of","49330322","6"
"Armenia","Russian Federation","142601900","2"
"Armenia","Ukraine","32379964","3"
"Armenia","Indonesia","20198149","4"
"Armenia","Brazil","19859954","5"
"Armenia","United States of America","18338606","6"
"Australia","New Zealand","1392189943","2"
"Australia","United States of America","991059503","3"
"Australia","Singapore","626364169","4"
"Australia","China","479465622","5"
"Australia","Italy","390395227","6"
"Bahrain, Kingdom of","Saudi Arabia, Kingdom of","204571325","2"
"Bahrain, Kingdom of","Australia","160920319","3"
"Bahrain, Kingdom of","India","117974738","4"
"Bahrain, Kingdom of","United States of America","78040903","5"
"Bahrain, Kingdom of","United Arab Emirates","62341053","6"
"Belize","United States of America","40465221","2"
"Belize","Mexico","17607150","3"
"Belize","Guatemala","4134163","4"
"Belize","Netherlands","4011866","5"
"Belize","Costa Rica","3913990","6"
"Benin","India","214905931","2"
"Benin","Thailand","189508957","3"
"Benin","France","78641475","4"
"Benin","Netherlands","38771834","5"
"Benin","Brazil","36518754","6"
"Bolivia, Plurinational State of","Argentina","187209966","2"
"Bolivia, Plurinational State of","Chile","83822951","3"
"Bolivia, Plurinational State of","Brazil","63522470","4"
"Bolivia, Plurinational State of","Peru","60358126","5"
"Bolivia, Plurinational State of","United States of America","37816567","6"
"Botswana","South Africa","370710400","2"
"Botswana","Namibia","4841378","3"
"Botswana","Zambia","4447010","4"
"Botswana","Zimbabwe","2077514","5"
"Botswana","Lithuania","1740776","6"
"Brazil","Argentina","2474245385","2"
"Brazil","Uruguay","512859019","3"
"Brazil","Paraguay","374971870","4"
"Brazil","United States of America","371412170","5"
"Brazil","Chile","260386778","6"
"Brunei Darussalam","Malaysia","150434929","2"
"Brunei Darussalam","Thailand","38556450","3"
"Brunei Darussalam","Australia","35937912","4"
"Brunei Darussalam","Singapore","25107501","5"
"Brunei Darussalam","India","16732543","6"
"Burkina Faso","France","53616632","2"
"Burkina Faso","Thailand","44826155","3"
"Burkina Faso","Côte d'Ivoire","39224940","4"
"Burkina Faso","India","21027852","5"
"Burkina Faso","United States of America","14403910","6"
"Burundi","Tanzania","5168554","2"
"Burundi","France","5142484","3"
"Burundi","Egypt","5035082","4"
"Burundi","Russian Federation","4092821","5"
"Burundi","Belgium","4040589","6"
"Cabo Verde","Portugal","43544340","2"
"Cabo Verde","Netherlands","16617449","3"
"Cabo Verde","Spain","14038661","4"
"Cabo Verde","Brazil","12423426","5"
"Cabo Verde","Belgium","12033153","6"
"Canada","United States of America","14859914921","2"
"Canada","Mexico","1427896982","3"
"Canada","China","513289772","4"
"Canada","Chile","337494295","5"
"Canada","Colombia","326523119","6"
"Chad","Cameroon","24216317","2"
"Chad","France","18467362","3"
"Chad","Netherlands","10017981","4"
"Chad","United States of America","9976535","5"
"Chad","United Arab Emirates","8215435","6"
"China","United States of America","5019403782","2"
"China","Australia","4215067044","3"
"China","Thailand","4193618781","4"
"China","New Zealand","3289088478","5"
"China","Viet Nam","2442868812","6"
"Chinese Taipei","United States of America","2213782600","2"
"Chinese Taipei","New Zealand","641028900","3"
"Chinese Taipei","Brazil","511015700","4"
"Chinese Taipei","Australia","463937600","5"
"Chinese Taipei","Japan","350968800","6"
"Colombia","United States of America","1774757174","2"
"Colombia","Canada","356539698","3"
"Colombia","Chile","272365021","4"
"Colombia","Brazil","112135083","5"
"Colombia","Mexico","99254353","6"
"Comoros","Pakistan","23300139","2"
"Comoros","France","14115147","3"
"Comoros","United Arab Emirates","3966997","4"
"Comoros","Argentina","3299001","5"
"Comoros","India","2707687","6"
"Costa Rica","United States of America","488123137","2"
"Costa Rica","Mexico","89268247","3"
"Costa Rica","Nicaragua","77092970","4"
"Costa Rica","Canada","66591759","5"
"Costa Rica","Chile","63646916","6"
"Cuba","Brazil","258388075","2"
"Cuba","Argentina","212085958","3"
"Cuba","Viet Nam","153284957","4"
"Cuba","Canada","139764455","5"
"Cuba","United States of America","94719202","6"
"Côte d'Ivoire","France","246226999","2"
"Côte d'Ivoire","Thailand","164090460","3"
"Côte d'Ivoire","Viet Nam","145688147","4"
"Côte d'Ivoire","India","120918956","5"
"Côte d'Ivoire","Netherlands","77839494","6"
"Dominican Republic","United States of America","681854195","2"
"Dominican Republic","Brazil","103057437","3"
"Dominican Republic","Mexico","67738519","4"
"Dominican Republic","Denmark","57614111","5"
"Dominican Republic","Costa Rica","53670531","6"
"Ecuador","Chile","190358986","2"
"Ecuador","Canada","154232389","3"
"Ecuador","United States of America","137350400","4"
"Ecuador","Peru","93195105","5"
"Ecuador","Colombia","76945543","6"
"Egypt","Brazil","1669092601","2"
"Egypt","Ukraine","1120606687","3"
"Egypt","Russian Federation","1104659739","4"
"Egypt","United States of America","684386951","5"
"Egypt","France","594461102","6"
"El Salvador","United States of America","408507072","2"
"El Salvador","Nicaragua","206923039","3"
"El Salvador","Guatemala","203807624","4"
"El Salvador","Costa Rica","100786379","5"
"El Salvador","Mexico","91846397","6"
"Eswatini","South Africa","158361329","2"
"Eswatini","Egypt","5527840","3"
"Eswatini","Russian Federation","1213794","4"
"Eswatini","Zambia","1188460","5"
"Eswatini","Mauritius","1184341","6"
"European Union","United States of America","6162685483","2"
"European Union","Brazil","5986531899","3"
"European Union","Turkey","4668362598","4"
"European Union","Switzerland","3842549760","5"
"European Union","Côte d'Ivoire","3580545747","6"
"Fiji","Australia","85890740","2"
"Fiji","New Zealand","69942069","3"
"Fiji","China","9182059","4"
"Fiji","Viet Nam","7277729","5"
"Fiji","United States of America","5896657","6"
"Gabon","France","127199615","2"
"Gabon","Thailand","54179537","3"
"Gabon","United States of America","36731954","4"
"Gabon","Netherlands","35241882","5"
"Gabon","Brazil","27041603","6"
"Georgia","Russian Federation","201388240","2"
"Georgia","Ukraine","82621176","3"
"Georgia","Turkey","81576567","4"
"Georgia","Germany","37721144","5"
"Georgia","Brazil","20699705","6"
"Guyana","United States of America","65000798","2"
"Guyana","Trinidad and Tobago","23254748","3"
"Guyana","New Zealand","20906044","4"
"Guyana","Netherlands","7470086","5"
"Guyana","China","3994592","6"
"Hong Kong, China","United States of America","3453893994","2"
"Hong Kong, China","China","3204425723","3"
"Hong Kong, China","Brazil","1712047865","4"
"Hong Kong, China","Netherlands","1243816847","5"
"Hong Kong, China","Thailand","918121885","6"
"India","Canada","1418870310","2"
"India","United States of America","960528379","3"
"India","Australia","939409984","4"
"India","Myanmar","837333137","5"
"India","Côte d'Ivoire","431477416","6"
"Indonesia","Australia","2251256887","2"
"Indonesia","China","915771135","3"
"Indonesia","United States of America","600839200","4"
"Indonesia","Canada","571318571","5"
"Indonesia","Thailand","489980958","6"
"Israel","Switzerland","426863000","2"
"Israel","Netherlands","343760000","3"
"Israel","United States of America","328691000","4"
"Israel","United Kingdom","135952000","5"
"Israel","Italy","127571000","6"
"Jamaica","United States of America","291060607","2"
"Jamaica","Trinidad and Tobago","40202707","3"
"Jamaica","Guyana","26513608","4"
"Jamaica","New Zealand","25993157","5"
"Jamaica","Canada","21824676","6"
"Japan","United States of America","9465463086","2"
"Japan","China","4818977886","3"
"Japan","Australia","2904180211","4"
"Japan","Thailand","2354603959","5"
"Japan","Brazil","2107388858","6"
"Jordan","Romania","322348822","2"
"Jordan","Brazil","206999890","3"
"Jordan","United States of America","193048268","4"
"Jordan","Egypt","168039402","5"
"Jordan","Australia","148275507","6"
"Kazakhstan","Russian Federation","821598568","2"
"Kazakhstan","Uzbekistan","280207248","3"
"Kazakhstan","China","188380517","4"
"Kazakhstan","Ukraine","185898396","5"
"Kazakhstan","United States of America","113402715","6"
"Korea, Republic of","United States of America","4828010614","2"
"Korea, Republic of","Australia","1749750102","3"
"Korea, Republic of","China","1640734540","4"
"Korea, Republic of","Brazil","963241975","5"
"Korea, Republic of","Ukraine","529775510","6"
"Kuwait, the State of","India","485889322","2"
"Kuwait, the State of","Saudi Arabia, Kingdom of","366792514","3"
"Kuwait, the State of","Australia","310195484","4"
"Kuwait, the State of","Brazil","268412688","5"
"Kuwait, the State of","Egypt","236762932","6"
"Lao People's Democratic Republic","Thailand","79833274","2"
"Lao People's Democratic Republic","China","22335935","3"
"Lao People's Democratic Republic","Viet Nam","16906777","4"
"Lao People's Democratic Republic","Australia","1417781","5"
"Lao People's Democratic Republic","Malaysia","1316112","6"
"Macao, China","China","267179723","2"
"Macao, China","Netherlands","224051961","3"
"Macao, China","United States of America","62100347","4"
"Macao, China","Hong Kong, China","60799633","5"
"Macao, China","Ireland","60137867","6"
"Madagascar","Pakistan","60878380","2"
"Madagascar","India","41916254","3"
"Madagascar","Egypt","28734473","4"
"Madagascar","Turkey","21216505","5"
"Madagascar","France","13275872","6"
"Malawi","Zambia","32518801","2"
"Malawi","Russian Federation","32494293","3"
"Malawi","South Africa","28718453","4"
"Malawi","Switzerland","28548213","5"
"Malawi","Canada","19564873","6"
"Malaysia","China","1015267191","2"
"Malaysia","Thailand","700732052","3"
"Malaysia","India","692879307","4"
"Malaysia","Indonesia","659198505","5"
"Malaysia","New Zealand","600462383","6"
"Maldives","India","55437382","2"
"Maldives","United Arab Emirates","55339531","3"
"Maldives","Sri Lanka","39471939","4"
"Maldives","Singapore","25921588","5"
"Maldives","Australia","19009324","6"
"Mali","France","87344853","2"
"Mali","Côte d'Ivoire","50297522","3"
"Mali","China","40743524","4"
"Mali","Senegal","40337755","5"
"Mali","India","35681056","6"
"Mauritius","Australia","77049163","2"
"Mauritius","France","75538810","3"
"Mauritius","India","72220646","4"
"Mauritius","New Zealand","56237232","5"
"Mauritius","South Africa","49788136","6"
"Mexico","United States of America","12086110648","2"
"Mexico","Canada","898480163","3"
"Mexico","Chile","420887430","4"
"Mexico","Brazil","191677230","5"
"Mexico","New Zealand","190537845","6"
"Moldova, Republic of","Ukraine","77841700","2"
"Moldova, Republic of","Turkey","54477100","3"
"Moldova, Republic of","Russian Federation","37829300","4"
"Moldova, Republic of","Germany","24529600","5"
"Moldova, Republic of","Romania","24181600","6"
"Mongolia","China","79071385","2"
"Mongolia","Russian Federation","73424842","3"
"Mongolia","Poland","17192147","4"
"Mongolia","Germany","14988901","5"
"Mongolia","Ukraine","12711381","6"
"Montenegro","Serbia","154913157","2"
"Montenegro","Croatia","29856115","3"
"Montenegro","Bosnia and Herzegovina","24664873","4"
"Montenegro","Netherlands","24455810","5"
"Montenegro","Germany","22136216","6"
"Mozambique","South Africa","188782819","2"
"Mozambique","Thailand","91728424","3"
"Mozambique","United Arab Emirates","71177262","4"
"Mozambique","Pakistan","26592699","5"
"Mozambique","Canada","23263557","6"
"Myanmar","Singapore","189945875","2"
"Myanmar","Thailand","156599528","3"
"Myanmar","China","90901109","4"
"Myanmar","Australia","40852361","5"
"Myanmar","Malaysia","38973288","6"
"Namibia","South Africa","337411155","2"
"Namibia","Germany","16718374","3"
"Namibia","India","14534940","4"
"Namibia","United States of America","13048173","5"
"Namibia","Netherlands","6478660","6"
"Nepal","India","560157097","2"
"Nepal","Canada","36684211","3"
"Nepal","Indonesia","36373747","4"
"Nepal","China","23735121","5"
"Nepal","Egypt","12327243","6"
"New Zealand","Australia","902878387","2"
"New Zealand","United States of America","312547088","3"
"New Zealand","China","107627290","4"
"New Zealand","Singapore","95584368","5"
"New Zealand","Netherlands","73973286","6"
"Nicaragua","United States of America","155453457","2"
"Nicaragua","Costa Rica","147789152","3"
"Nicaragua","Guatemala","52889449","4"
"Nicaragua","Mexico","41934942","5"
"Nicaragua","Brazil","35368371","6"
"Niger","Thailand","75419375","2"
"Niger","India","58010712","3"
"Niger","United States of America","38834003","4"
"Niger","France","24758578","5"
"Niger","Pakistan","19897309","6"
"North Macedonia","Serbia","110256107","2"
"North Macedonia","Germany","40241995","3"
"North Macedonia","Poland","33772409","4"
"North Macedonia","Brazil","29743260","5"
"North Macedonia","Croatia","27271129","6"
"Norway","Brazil","437945721","2"
"Norway","Netherlands","382438114","3"
"Norway","Sweden","346293052","4"
"Norway","Spain","320754556","5"
"Norway","Germany","313884602","6"
"Pakistan","Kenya","342100907","2"
"Pakistan","India","212543629","3"
"Pakistan","Afghanistan","189074001","4"
"Pakistan","Indonesia","124152005","5"
"Pakistan","United States of America","123961543","6"
"Panama","United States of America","504254459","2"
"Panama","Costa Rica","111262736","3"
"Panama","Mexico","56373394","4"
"Panama","Chile","34676816","5"
"Panama","Guatemala","32567031","6"
"Paraguay","Argentina","154051881","2"
"Paraguay","Brazil","151039253","3"
"Paraguay","Chile","33543746","4"
"Paraguay","United States of America","16803638","5"
"Paraguay","China","5714413","6"
"Peru","United States of America","794579137","2"
"Peru","Canada","446794963","3"
"Peru","Chile","251749461","4"
"Peru","Argentina","144379185","5"
"Peru","Brazil","112470747","6"
"Philippines","United States of America","1384904362","2"
"Philippines","Viet Nam","523932886","3"
"Philippines","Thailand","517880720","4"
"Philippines","Indonesia","493829434","5"
"Philippines","Australia","481665149","6"
"Qatar","Saudi Arabia, Kingdom of","442649660","2"
"Qatar","Australia","256821543","3"
"Qatar","India","255752872","4"
"Qatar","United Arab Emirates","240504837","5"
"Qatar","Brazil","168591081","6"
"Rwanda","Uganda","32021066","2"
"Rwanda","Russian Federation","22705595","3"
"Rwanda","Pakistan","19706213","4"
"Rwanda","Tanzania","13585463","5"
"Rwanda","Egypt","10945732","6"
"Samoa","New Zealand","22013589","2"
"Samoa","United States of America","20173261","3"
"Samoa","Australia","10836842","4"
"Samoa","Fiji","7988529","5"
"Samoa","China","2788112","6"
"Saudi Arabia, Kingdom of","Brazil","1847807482","2"
"Saudi Arabia, Kingdom of","India","1797470246","3"
"Saudi Arabia, Kingdom of","United Arab Emirates","1091992458","4"
"Saudi Arabia, Kingdom of","United States of America","998554064","5"
"Saudi Arabia, Kingdom of","Germany","919327752","6"
"Senegal","India","238672466","2"
"Senegal","France","171061834","3"
"Senegal","Thailand","82780418","4"
"Senegal","Argentina","37406864","5"
"Senegal","China","37381477","6"
"Seychelles","South Africa","13350728","2"
"Seychelles","United Arab Emirates","11540603","3"
"Seychelles","India","9274870","4"
"Seychelles","France","6563521","5"
"Seychelles","Brazil","5143162","6"
"Sierra Leone","United Kingdom","170484009","2"
"Sierra Leone","Lebanese Republic","18036865","3"
"Sierra Leone","Netherlands","16941618","4"
"Sierra Leone","United States of America","16074149","5"
"Sierra Leone","United Arab Emirates","9526650","6"
"Singapore","Malaysia","1184113936","2"
"Singapore","United States of America","613161710","3"
"Singapore","Australia","575082998","4"
"Singapore","China","519287073","5"
"Singapore","Indonesia","481746517","6"
"South Africa","Thailand","261042822","2"
"South Africa","Brazil","211334632","3"
"South Africa","Germany","210376324","4"
"South Africa","Russian Federation","200610773","5"
"South Africa","India","176698353","6"
"Sri Lanka","India","292465615","2"
"Sri Lanka","Canada","262959734","3"
"Sri Lanka","Australia","191602138","4"
"Sri Lanka","New Zealand","175035598","5"
"Sri Lanka","United States of America","67930707","6"
"Suriname","United States of America","45182072","2"
"Suriname","Netherlands","43936432","3"
"Suriname","Brazil","15099176","4"
"Suriname","Trinidad and Tobago","11775014","5"
"Suriname","Germany","4878313","6"
"Switzerland","Germany","1241597014","2"
"Switzerland","Italy","1032370427","3"
"Switzerland","France","766427297","4"
"Switzerland","Netherlands","696162062","5"
"Switzerland","Spain","643587107","6"
"Thailand","China","1013231647","2"
"Thailand","United States of America","602871800","3"
"Thailand","Australia","482317866","4"
"Thailand","New Zealand","396579064","5"
"Thailand","Ukraine","324724776","6"
"Togo","France","23782842","2"
"Togo","China","14391395","3"
"Togo","Ireland","12647430","4"
"Togo","Thailand","12101081","5"
"Togo","Ghana","11996723","6"
"Tonga","New Zealand","16017405","2"
"Tonga","United States of America","12215275","3"
"Tonga","Fiji","8238055","4"
"Tonga","Australia","4733567","5"
"Tonga","Indonesia","1749488","6"
"Tunisia","Ukraine","299227056","2"
"Tunisia","Canada","134267199","3"
"Tunisia","France","105179307","4"
"Tunisia","Italy","94614804","5"
"Tunisia","Spain","72857415","6"
"Turkey","Russian Federation","934908765","2"
"Turkey","Germany","308963436","3"
"Turkey","United States of America","288629845","4"
"Turkey","Canada","285441577","5"
"Turkey","Netherlands","246932551","6"
"Uganda","Russian Federation","52511344","2"
"Uganda","Pakistan","37487931","3"
"Uganda","Kenya","32048113","4"
"Uganda","Poland","29289593","5"
"Uganda","Tanzania","24106875","6"
"Ukraine","Poland","212771242","2"
"Ukraine","Germany","185259716","3"
"Ukraine","Turkey","167465918","4"
"Ukraine","Russian Federation","136515768","5"
"Ukraine","Ecuador","116707185","6"
"Uruguay","Brazil","245800694","2"
"Uruguay","Argentina","242593557","3"
"Uruguay","Chile","51646123","4"
"Uruguay","Paraguay","36391340","5"
"Uruguay","Spain","17971755","6"
"Venezuela, Bolivarian Republic of","Brazil","1458825097","2"
"Venezuela, Bolivarian Republic of","Argentina","727450586","3"
"Venezuela, Bolivarian Republic of","Canada","404525162","4"
"Venezuela, Bolivarian Republic of","United States of America","398663174","5"
"Venezuela, Bolivarian Republic of","Mexico","368957633","6"
"Zambia","South Africa","134662242","2"
"Zambia","Zimbabwe","9087933","3"
"Zambia","France","5445048","4"
"Zambia","United Kingdom","4417698","5"
"Zambia","Ukraine","4332188","6"
"Zimbabwe","South Africa","247418227","2"
"Zimbabwe","Zambia","180497182","3"
"Zimbabwe","Thailand","50482016","4"
"Zimbabwe","Mozambique","37666666","5"
"Zimbabwe","Pakistan","18431348","6"
