State,Population
Alabama,5024279.00
Alaska,733391.00
Arizona,7151502.00
Arkansas,3011524.00
California,39538223.00
Colorado,5773714.00
Connecticut,3605944.00
Delaware,989948.00
District of Columbia,689545.00
Florida,21538187.00
Georgia,10711908.00
Hawaii,1455271.00
Idaho,1839106.00
Illinois,12812508.00
Indiana,6785528.00
Iowa,3190369.00
Kansas,2937880.00
Kentucky,4505836.00
Louisiana,4657757.00
Maine,1362359.00
Maryland,6177224.00
Massachusetts,7029917.00
Michigan,10077331.00
Minnesota,5706494.00
Mississippi,2961279.00
Missouri,6154913.00
Montana,1084225.00
Nebraska,1961504.00
Nevada,3104614.00
New Hampshire,1377529.00
New Jersey,9288994.00
New Mexico,2117522.00
New York,20201249.00
North Carolina,10439388.00
North Dakota,779094.00
Ohio,11799448.00
Oklahoma,3959353.00
Oregon,4237256.00
Pennsylvania,13002700.00
Rhode Island,1097379.00
South Carolina,5118425.00
South Dakota,886667.00
Tennessee,6910840.00
Texas,29145505.00
Utah,3271616.00
Vermont,643077.00
Virginia,8631393.00
Washington,7705281.00
West Virginia,1793716.00
Wisconsin,5893718.00
Wyoming,576851.00
TOTAL RESIDENT POPULATION1,331449281.00
Puerto Rico,3285874.00
"TOTAL RESIDENT POPULATION, INCLUDING PUERTO RICO",334735155.00
"Footnote:
     1 Includes the resident population for the 50 states and the District of Columbia, as ascertained by the Twenty-Fourth 
Decennial Census under Title 13, United States Code.",