name,1980,1990,2000,2010,2017,2018
Alabama,8.9,6.8,4.6,10.5,4.4,3.9
Alaska,9.6,7.2,6.4,7.9,7,6.6
Arizona,6.6,5.3,4,10.4,4.9,4.8
Arkansas,7.6,6.9,4.3,8.2,3.7,3.7
California,6.8,5.8,4.9,12.2,4.8,4.2
Colorado,5.8,5.2,2.8,8.7,2.7,3.3
Connecticut,5.8,5.1,2.4,9.1,4.7,4.1
Delaware,7.6,4.7,3.7,8.4,4.5,3.8
District of Columbia,7.4,6.3,5.6,9.4,6.1,5.6
Florida,6.1,6.1,3.7,11.1,4.2,3.6
Georgia,6.3,5.5,3.6,10.5,4.7,3.9
Hawaii,5,2.7,4.2,6.9,2.4,2.4
Idaho,7.5,5.5,4.7,9,3.2,2.8
Illinois,8.2,6.1,4.3,10.4,4.9,4.3
Indiana,9.6,5.3,3.1,10.4,3.6,3.4
Iowa,6,4.4,2.6,6,3.1,2.5
Kansas,4.4,4.3,3.6,7.1,3.7,3.4
Kentucky,8,6,4.2,10.2,4.9,4.3
Louisiana,6.9,6.2,5.3,8,5.1,4.9
Maine,7.6,5.3,3.4,8.1,3.4,3.4
Maryland,6.6,4.5,3.6,7.7,4.3,3.9
Massachusetts,5.6,6.3,2.7,8.3,3.8,3.3
Michigan,12.3,7.6,3.6,12.6,4.6,4.1
Minnesota,5.8,4.8,3.2,7.4,3.4,2.9
Mississippi,7.4,7.6,5.4,10.4,5.1,4.8
Missouri,7.2,5.8,3.6,9.6,3.8,3.2
Montana,6.1,6,5,7.3,3.9,3.7
Nebraska,3.9,2.3,2.8,4.6,2.9,2.8
Nevada,6.2,4.7,4.2,13.5,5.1,4.6
New Hampshire,4.5,5.7,2.7,5.8,2.7,2.5
New Jersey,7.2,5,3.7,9.5,4.6,4.1
New Mexico,7.6,6.6,4.9,8.1,5.9,4.9
New York,7.5,5.3,4.5,8.6,4.7,4.1
North Carolina,6.4,4.1,3.7,10.9,4.5,3.9
North Dakota,4.9,4,3,3.8,2.7,2.6
Ohio,8.4,5.6,4,10.3,5,4.6
Oklahoma,4.4,5.7,3,6.8,4.2,3.4
Oregon,8.5,5.5,5.1,10.6,4.1,4.2
Pennsylvania,8,5.5,4.1,8.5,4.9,4.3
Rhode Island,7.2,6.3,4.1,11.2,4.4,4.1
South Carolina,6.7,4.8,3.8,11.2,4.3,3.4
South Dakota,4.8,3.8,2.5,5,3.2,3
Tennessee,7.4,5.3,3.9,9.7,3.8,3.5
Texas,5.1,6.3,4.3,8.1,4.3,3.9
Utah,6.2,4.4,3.3,7.8,3.3,3.1
Vermont,6.2,5,2.8,6.1,3,2.7
Virginia,5.2,4.5,2.3,7.1,3.7,3
Washington,8.1,5.2,5.2,10,4.7,4.5
West Virginia,9.5,8.5,5.5,8.7,5.2,5.3
Wisconsin,7.2,4.4,3.5,8.7,3.3,3
Wyoming,3.9,5.3,3.9,6.4,4.2,4.1