name,2000,2005,2010,2015,2020
Albania,21743712,58320939,119138110,94582547,
Angola,,,,840631198,
Antigua and Barbuda,12531129,16414267,19839275,23465431,
Argentina,203649420,64441146,169408022,59686678,118725111
Armenia,,35370794,84773228,71320560,
Australia,149969070,349683952,626035872,668020407,
"Bahrain, Kingdom of",71564942,,270036645,338280158,
Bangladesh,8784631,8729739,12966462,,
Barbados,17649526,24257724,28021811,,
Belize,,4368936,5318208,9216380,
Benin,,48732641,164510405,230307494,
"Bolivia, Plurinational State of",5742068,3238923,6447959,14875234,
Botswana,10573616,11292900,28480827,24235472,23089866
Brazil,170678320,105511000,227489000,344811184,
Brunei Darussalam,17236333,22440706,37872356,54526309,
Bulgaria,29069648,,,,
Burkina Faso,,331388,1214581,762013,
Burundi,,89280,417524,3630611,
Cabo Verde,,13827653,21930095,25007285,
Cambodia,,100193,2598204,,
Cameroon,,17366343,11297366,,
Canada,1253896133,1391625560,2426148247,3327302291,
Central African Republic,,78933,415858,2967527,
Chad,,95519,1548501,3869769,
Chile,190433824,374026087,877337974,1072079690,
China,,698551658,2499250214,7358520205,
Chinese Taipei,320000672,533184350,807911400,1218252900,1637757000
Colombia,46023176,41757692,101869437,240935541,323128740
Comoros,,,,15270927,
Costa Rica,12169633,17539093,43222652,115882113,
Croatia,,,370522070,,
Cuba,92197045,220859270,294611979,320718880,378144872
Cyprus,19467183,,,,
Czech Republic,86018427,,,,
Cï¿½te d'Ivoire,,47441896,67088438,93690409,
Dominica,5480564,6160275,8660898,,
Dominican Republic,22493696,23324020,94855099,179396752,
Ecuador,7694286,22157128,45974143,38102478,
Egypt,460491192,353552527,1433117295,2206800916,
El Salvador,55689755,85704023,121469477,180082329,287149037
Estonia,38703003,,,,
Eswatini,,33286309,32041788,20555499,
European Union,4097986011,5886679162,6893420229,6693859323,6080518741
Fiji,,30678090,28248392,26027325,
Gabon,,67867751,122566836,196995406,
Georgia,,30725000,98115110,121148964,
Ghana,,,143621365,,
Grenada,11029809,,,,
Guatemala,43063966,90221421,128060385,,
Guinea,,1676131,4307616,,
Guinea-Bissau,,396727,,,
Guyana,,,3792115,6210027,
Haiti,,,178184049,,
Honduras,32999806,54293098,45289654,,
"Hong Kong, China",2092905986,1871920919,5299799261,6787659132,7040292973
Hungary,70989863,,,,
Iceland,1389081,3909419,5506506,,
India,511770,3077484,12532229,13156918,13750011
Indonesia,180094951,207188425,857767326,838512288,
Israel,177487000,185918000,475428000,669667000,956082000
Jamaica,57539060,,89544447,91090554,
Japan,8781465000,10011103457,11268065573,11647167094,
Jordan,103793760,152909356,358880336,671951487,
Kazakhstan,,,,295471862,
Kenya,1262566,1106058,2868916,,
"Korea, Republic of",1173239056,1538058584,2222161177,3907217060,5282185416
"Kuwait, the State of",,729509360,,793777338,
Kyrgyz Republic,1712035,6961848,76260235,52276650,
Lao People's Democratic Republic,,,,8181123,
Latvia,28279909,,,,
Lesotho,,,,42605932,
"Macao, China",38143817,61046120,117456961,215014248,255393840
Madagascar,1013702,2233117,5917186,2067742,
Malawi,2345291,,2201250,4189373,
Malaysia,243823141,,621553493,920536537,1006711562
Maldives,8510800,9672009,27434147,55176975,43287285
Mali,207140,303170,1754213,9473865,
Malta,31867215,,,,
Mauritania,,,7435754,,
Mauritius,35193942,45516190,76959643,90588025,94658815
Mexico,1899509472,2647333607,3551149016,4297972427,3698173945
"Moldova, Republic of",,36596100,37558300,37646200,49561405
Mongolia,412168,1165009,9409038,20266647,40519383
Montenegro,,,,124993547,
Morocco,23933792,42567792,133146528,,
Mozambique,10231139,25189562,13258182,53881448,
Myanmar,571364,617402,106620,5874104,21019953
Namibia,,39385356,101627944,72356217,
Nepal,,,4491824,27733237,
New Zealand,60311447,135156294,187661355,243163098,
Nicaragua,11541447,15185968,26468462,56572983,68741104
Niger,,246617,513887,7650521,
Nigeria,,,5629945,,
North Macedonia,,87838834,127600989,138758538,
Norway,39336417,125343699,134482960,238506174,
Oman,,154549001,,,
Pakistan,,7133454,19747705,32778969,
Panama,32655400,28307103,73349163,144811694,
Papua New Guinea,41555192,46606829,,,
Paraguay,5237365,3011133,19928104,18989506,
Peru,28818627,38428202,92837464,149147994,
Philippines,235629763,194494778,417889621,920531612,1140014517
Poland,124032419,,,,
Qatar,,159978893,473252102,818501293,728074235
Rwanda,,190592,,1812905,1823281
Saint Kitts and Nevis,6384037,,9579395,,
Saint Lucia,16686062,22067268,,,
Saint Vincent and the Grenadines,8425503,,15442793,,
Samoa,,,,24758019,26694155
"Saudi Arabia, Kingdom of",,1675437941,2616566400,4094052955,2595431367
Senegal,,38837042,14920737,13210255,19333011
Serbia,,,47737308,,
Seychelles,,,,21902802,
Sierra Leone,,,5732849,6941928,
Singapore,436502735,609639077,1059196564,1206548866,
Slovak Republic,56076806,,,,
South Africa,104300740,288111177,398227351,709881490,
Sri Lanka,4305002,4391637,3742960,15038047,
Suriname,,,26255037,39776049,
Switzerland,434642270,608816663,891500500,930543504,942891594
Tanzania,1193058,3688525,6623743,,
Thailand,23272157,48700759,75810384,280963261,
Togo,3699903,2221693,9738521,15619886,13129582
Tonga,,,18288722,22978549,
Trinidad and Tobago,26304298,36803335,78049248,,
Tunisia,13519256,37228468,56785881,43600613,
Turkey,34612589,14460395,584232181,437091624,476503393
Uganda,627750,2059972,4389681,6489769,
Ukraine,,,521395730,169303293,282545342
United Arab Emirates,,670169494,1355854345,,
United States of America,5743846032,7813851495,7422786327,13246574615,13262004004
Uruguay,15327624,26592315,51064496,104710189,257669461
"Venezuela, Bolivarian Republic of",22991841,276418642,1242156813,1161784998,
Zambia,,1696513,5374307,12223246,
Zimbabwe,1495628,,28767144,17696358,
